scenario_id,type,victim_city,cashout_city,terminal_account_city,delay_hours,ground_truth_location,ground_truth_time,prediction_cutoff,n_victims,n_hops,hop_cities
SCN1D462A4E,D,Vadodara,Mumbai,Mumbai,,M03,2026-09-25T09:10:35.563592,2026-09-25T07:54:07.303075,,2.0,"['Delhi', 'Mumbai']"
SCN6A3F6780,D,Vadodara,Mumbai,Mumbai,,M05,2026-09-25T11:41:11.044099,2026-09-25T09:42:40.186358,,2.0,"['Delhi', 'Mumbai']"
SCN158BF6FE,C,Ahmedabad,Mumbai,Mumbai,,M03,2026-09-25T20:32:14.828629,2026-09-25T16:24:50.298373,,3.0,"['Surat', 'Vadodara', 'Mumbai']"
SCN5E50D679,C,Ahmedabad,Mumbai,Mumbai,,M06,2026-09-26T00:17:34.654553,2026-09-25T19:21:13.187581,,2.0,"['Vadodara', 'Mumbai']"
SCN04BF657C,A,Mumbai,Hyderabad,Hyderabad,,H01,2026-09-25T14:38:29.067410,2026-09-25T14:13:33.811051,,,
SCNA2868E49,B,Surat,Mumbai,Mumbai,,M03,2026-09-25T16:04:12.601112,2026-09-25T12:44:19.901477,4.0,,
SCN0A9D596A,C,Ahmedabad,Mumbai,Mumbai,,M03,2026-09-25T22:25:44.628553,2026-09-25T20:27:26.653968,,3.0,"['Surat', 'Hyderabad', 'Mumbai']"
SCNECBDEFD6,C,Ahmedabad,Mumbai,Mumbai,,M07,2026-09-26T07:11:30.604394,2026-09-26T03:45:27.076767,,3.0,"['Pune', 'Bengaluru', 'Mumbai']"
SCNF7604614,A,Mumbai,Delhi,Delhi,,D03,2026-09-26T05:15:35.032722,2026-09-26T03:54:57.763261,,,
SCNA9F3B800,A,Vadodara,Bengaluru,Bengaluru,,B01,2026-09-25T21:46:58.570099,2026-09-25T21:16:49.744538,,,
SCN29DBD1E1,D,Ahmedabad,Mumbai,Mumbai,,M05,2026-09-26T22:15:54.928341,2026-09-26T17:21:51.923512,,2.0,"['Surat', 'Mumbai']"
SCN9F513F2B,A,Vadodara,Surat,Surat,,S01,2026-09-26T23:18:21.888992,2026-09-26T22:44:32.854448,,,
SCN1DBBD7B5,A,Surat,Bengaluru,Bengaluru,,B03,2026-09-26T21:33:12.636952,2026-09-26T21:27:09.363377,,,
